state_name,households,population,male_pop,female_pop,literate_pop,male_literate,female_literate,sc_population,st_population,working_pop,female_working_pop,literacy_rate,male_literacy_rate,female_literacy_rate,female_workforce_pct,sc_share,st_share,avg_household_size
Mizoram,222853.0,1097206.0,555339.0,541867.0,848175.0,438529.0,409646.0,1218.0,1036115.0,486705.0,195965.0,77.30316822912015,78.9660009471692,75.59899384904413,36.164778441942396,0.11100923618718819,94.43213033833209,4.923451782116462
Nagaland,396002.0,1978502.0,1024649.0,953853.0,1342434.0,723957.0,618477.0,0.0,1710973.0,974122.0,426765.0,67.85103072930934,70.6541459563226,64.83986526225739,44.74117080933855,0.0,86.47820421712993,4.996191938424554
Odisha,9620556.0,41896542.0,21172083.0,20724692.0,26685118.0,15057822.0,11627296.0,7181810.0,9576786.0,17515266.0,5634339.0,63.69288902172404,71.12111736950965,56.10358889772644,27.186599443793906,17.141772702864117,22.858177651033827,4.354898199230897
Puducherry,302450.0,1247953.0,612511.0,635442.0,957309.0,497378.0,459931.0,196325.0,0.0,444968.0,112037.0,76.71034085418282,81.20311308694865,72.37969791106033,17.631349517343832,15.731762333998155,0.0,4.1261464704909905
Punjab,5513071.0,27743338.0,14639465.0,13103873.0,18707137.0,10436056.0,8271081.0,8860179.0,0.0,9897362.0,1823205.0,67.42929419668246,71.2871406161359,63.11936173374085,13.91348191485067,31.93623997227731,0.0,5.032283821485339
Rajasthan,12688355.0,68425124.0,35485738.0,32939386.0,38193809.0,23640103.0,14553706.0,12203834.0,9234013.0,29848985.0,11583352.0,55.81839939376654,66.61860322589317,44.18329473415199,35.16565852198945,17.83531148588054,13.495062135364197,5.392749808781359
Sikkim,129006.0,610577.0,323070.0,287507.0,444952.0,251269.0,193683.0,28275.0,206360.0,308138.0,113780.0,72.8740191654779,77.77540471105333,67.36635977558807,39.57468861627717,4.630865558316151,33.797539049128936,4.732934902252609
Tamil Nadu,18524982.0,72147030.0,36137975.0,36009055.0,51837507.0,28040491.0,23797016.0,14438445.0,794697.0,32884681.0,11449703.0,71.84981419193555,77.59286733692188,66.08619970726808,31.79673279401528,20.012528582257648,1.101496485718123,3.894580302426205
Telangana,8122358.0,34226067.0,17211407.0,17014660.0,20142813.0,11401974.0,8740839.0,5350055.0,3161423.0,16045589.0,6585866.0,58.852257257604265,66.24661191266932,51.37239886074715,38.70700913212489,15.631521436570553,9.236886610430583,4.2138092164861485
The Dadra And Nagar Haveli And Daman And Diu,137414.0,586956.0,344061.0,242895.0,411636.0,267164.0,144472.0,12310.0,193927.0,278432.0,51705.0,70.13064011612454,77.6501841243268,59.4791988307705,21.286975853763973,2.097261123491369,33.039444183209646,4.27144250221957
Tripura,855556.0,3673917.0,1874376.0,1799541.0,2804783.0,1501369.0,1303414.0,654918.0,1166813.0,1469521.0,424195.0,76.34312370148808,80.09967050367696,72.43035863033963,23.572399850850857,17.826151216807563,31.759372898190136,4.294186470552483
Uttar Pradesh,33447517.0,199809313.0,104478906.0,95330407.0,114395735.0,68233853.0,46161882.0,41357480.0,1134273.0,65813751.0,15967773.0,57.25245399347326,65.30873610028037,48.42304092963749,16.749926390223006,20.698474650178092,0.5676777438296883,5.973816023473431
Uttarakhand,2056975.0,10086292.0,5137773.0,4948519.0,6880953.0,3863708.0,3017245.0,1892516.0,291903.0,3872275.0,1320354.0,68.22083873835896,75.20199899839872,60.97268697968018,26.68180116111507,18.763248178815367,2.8940566067292126,4.903458719721922
West Bengal,20370932.0,91232091.0,46786607.0,44445484.0,61513190.0,33804870.0,27708320.0,21458136.0,5295689.0,34739369.0,8035082.0,67.42494809200417,72.2533053102141,62.342261814496155,18.078511643612654,23.520381660440073,5.804634029488593,4.478542807957927
